"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
271,07/21/2014 01:00:00 PM,22.589,69.163,16.673,,,,
272,07/21/2014 01:01:00 PM,22.613,69.019,16.663,,,,
273,07/21/2014 01:02:00 PM,22.613,68.930,16.642,,,,
274,07/21/2014 01:03:00 PM,22.589,68.896,16.612,,,,
275,07/21/2014 01:04:00 PM,22.589,69.015,16.639,,,,
276,07/21/2014 01:05:00 PM,22.589,68.955,16.625,,,,
277,07/21/2014 01:06:00 PM,22.589,69.222,16.686,,,,
278,07/21/2014 01:07:00 PM,22.589,68.985,16.632,,,,
279,07/21/2014 01:08:00 PM,22.589,69.222,16.686,,,,
280,07/21/2014 01:09:00 PM,22.613,69.137,16.690,,,,
281,07/21/2014 01:10:00 PM,22.589,69.489,16.747,,,,
282,07/21/2014 01:11:00 PM,22.589,69.103,16.659,,,,
283,07/21/2014 01:12:00 PM,22.589,69.192,16.679,,,,
284,07/21/2014 01:13:00 PM,22.613,68.930,16.642,,,,
285,07/21/2014 01:14:00 PM,22.589,69.044,16.646,,,,
286,07/21/2014 01:15:00 PM,22.589,68.896,16.612,,,,
287,07/21/2014 01:16:00 PM,22.589,68.748,16.578,,,,
288,07/21/2014 01:17:00 PM,22.589,68.837,16.598,,,,
289,07/21/2014 01:18:00 PM,22.565,69.099,16.635,,,,
290,07/21/2014 01:19:00 PM,22.541,69.184,16.632,,,,
291,07/21/2014 01:20:00 PM,22.565,69.040,16.622,,,,
292,07/21/2014 01:21:00 PM,22.565,69.188,16.655,,,,
293,07/21/2014 01:22:00 PM,22.565,69.010,16.615,,,,
294,07/21/2014 01:23:00 PM,22.541,68.858,16.557,,,,
295,07/21/2014 01:24:00 PM,22.541,69.243,16.645,,,,
296,07/21/2014 01:25:00 PM,22.565,69.307,16.682,,,,
297,07/21/2014 01:26:00 PM,22.565,69.247,16.669,,,,
298,07/21/2014 01:27:00 PM,22.565,69.158,16.649,,,,
299,07/21/2014 01:28:00 PM,22.565,69.247,16.669,,,,
300,07/21/2014 01:29:00 PM,22.565,69.307,16.682,,,,
301,07/21/2014 01:30:00 PM,22.565,69.247,16.669,,,,
302,07/21/2014 01:31:00 PM,22.565,69.247,16.669,,,,
303,07/21/2014 01:32:00 PM,22.565,69.218,16.662,,,,
304,07/21/2014 01:33:00 PM,22.565,69.336,16.689,,,,
305,07/21/2014 01:34:00 PM,22.565,69.218,16.662,,,,
306,07/21/2014 01:35:00 PM,22.565,69.069,16.628,,,,
307,07/21/2014 01:36:00 PM,22.589,69.133,16.666,,,,
308,07/21/2014 01:37:00 PM,22.589,69.015,16.639,,,,
309,07/21/2014 01:38:00 PM,22.565,69.129,16.642,,,,
310,07/21/2014 01:39:00 PM,22.565,69.129,16.642,,,,
311,07/21/2014 01:40:00 PM,22.565,69.277,16.676,,,,
312,07/21/2014 01:41:00 PM,22.565,69.040,16.622,,,,
313,07/21/2014 01:42:00 PM,22.565,69.277,16.676,,,,
314,07/21/2014 01:43:00 PM,22.565,69.425,16.709,,,,
315,07/21/2014 01:44:00 PM,22.589,69.489,16.747,,,,
316,07/21/2014 01:45:00 PM,22.589,69.133,16.666,,,,
317,07/21/2014 01:46:00 PM,22.589,69.074,16.652,,,,
318,07/21/2014 01:47:00 PM,22.589,68.985,16.632,,,,
319,07/21/2014 01:48:00 PM,22.589,69.341,16.713,,,,
320,07/21/2014 01:49:00 PM,22.589,69.489,16.747,,,,
321,07/21/2014 01:50:00 PM,22.613,69.345,16.737,,,,
322,07/21/2014 01:51:00 PM,22.613,69.256,16.717,,,,
323,07/21/2014 01:52:00 PM,22.613,69.167,16.697,,,,
324,07/21/2014 01:53:00 PM,22.613,69.019,16.663,,,,
325,07/21/2014 01:54:00 PM,22.589,68.926,16.618,,,,
326,07/21/2014 01:55:00 PM,22.589,68.985,16.632,,,,
327,07/21/2014 01:56:00 PM,22.589,68.985,16.632,,,,
328,07/21/2014 01:57:00 PM,22.589,69.311,16.706,,,,
